,url,Connecteur clavier,Matériaux,Webcam,Diagonale,Autofocus,Induction,Navigateur par défaut,Amovible,Compatible Flash Player,Bluetooth,Appareil photo,Boutique d'apps,Appel téléphonique,Fréquence,Capteur d'empreinte,4G,VGA,Couleur(s),USB,DisplayPort,Miracast,Puce graphique,Avec emplacement,Compatible,Verrou Kensington,Capteur de luminosité,Cellules,Haut-parleurs,Capacité W/h,Ethernet,Résistance aux chutes,Dalle,Applications,Prix public,Anti-rayures,Gyroscope,Béquille ajustable,Luminosité,Tactile,Lecteur de carte SD,Processeur,Accéléromètre,Résistance à la poussière,Système,64 bits,Béquille arrière,Infrarouge,Date,HDMI,Inclus,NFC,Qualité vidéo,Référence,GPS,Prise casque,Résolution,Angle de vue,Mémoire (RAM),Puce TPM,Capteur de proximité,Flash LED,Marque,Poids,DisplayPort Thunderbolt,Disque dur,Gamme,Airplay,Autonomie,3G,Résistance à l'eau,Interface constructeur,Wifi,PPI,Temps de charge,H x L x P,Magnétique,Widi,Optionnel,Capacité mAh,Anti-reflet,Lecteur de carte à puce (Smart Card),Firewire,Gravure,Puce graphique dédiée,Delta E,Lecteur d'empreintes digitales,Puce graphique intégrée,Connecteur pour dock,Port série,Taille,Pavé numérique,Flash Player,Contraste,Clavier rétroéclairé,Trackpoint,Système d'exploitation,Lecteur DVD,Emplacement,Cache,Dimensions,4G / LTE,Composition,Touchpad,Type de dalle,Navigateur,Wireless Display (Widi),PDT max.
product_578e954e0a086d307f8b456b,http://www.comparez-malin.fr/informatique/pc-portable/asus-k751lj-ty367t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.2 à 2.7 GHz,,,Oui,Gris champagneNoir,3 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoSonicMaster Sound,37 W/h, 100 / 1000 Mbps,Non,,ASUS Color Enhancement (ASUS Splendid)ASUS Fast BootASUS Fancy StartASUS Live Update 2ASUS LifeFrame3ASUS Power4Gear Hybrid-SHEASUS Smart LogonASUS Virtual CameraASUS WinflashASUS Wireless Console 3ASUS Screen SavereManualeDriverPower2Go v6Trend MicroTitanium 2011 (Version d'essai 30 jours)Nuance PDF,"649,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i5-5200U,Non,Non,,Oui,,Non,19/07/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,K751LJ-TY367T,Non,Oui,1600 x 900 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,2.8 kg,Non,1000 Go (5400 tr/min),Broadwell 2015 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n,106 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Nvidia GeForce 920M,-,Non,Intel HD Graphics 5500300 - 900 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,415 x 272 x 30.4 - 35.5 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578e95a00a086d327f8b4569,http://www.comparez-malin.fr/informatique/pc-portable/asus-r540lj-xx046t.html,,,0.3 MPx,,Non,Non,,Oui,,4.0,Non,Windows Store,,2 x 1.7 GHz,,,Oui,Gris,1 x USB 2.01 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Oui,Oui,3 cel.,Haut-parleurs stéréo (2W)SonicMaster Sound,33 W/h, 100 / 1000 Mbps,Non,,ASUS AI RecoveryASUS Live UpdateSuper NoteWorld ClockSkypeFresh PaintWindows Essential 2012Adobe ReaderOffice TransiteManualInstant On,"549,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i3-4005U,Non,Non,,Oui,,Non,19/07/2016,HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,R540LJ-XX046T,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,2 kg,Non,1000 Go (5400 tr/min),Haswell 2013 (x86),Non,4h00,Non,Non,Non,802.11 b/g/n,100 ppp,-,,Non,,-,-,Oui,Non,Non,22 nm,Nvidia GeForce 920M,-,Non,Intel HD Graphics 4400200 - 950 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,381 x 252 x 27.2 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578e96970a086d307f8b456c,http://www.comparez-malin.fr/informatique/pc-portable/asus-x555yi-xx150t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,4 x 2.2 à 2.5 GHz,,,Oui,Blanc,1 x USB 2.02 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,2 cel.,Haut-parleurs stéréo (2W)SonicMaster Sound,37 W/h, 100 / 1000 Mbps,Non,,Microsoft Office 365 (1 mois d'essai)Applications Asus,"449,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,AMD A8-7410,Non,Non,,Oui,,Non,19/07/2016,HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,X555YI-XX150T,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,2.3 kg,Non,1000 Go (5400 tr/min),Puma+ 2015 (x86),Non,4h00,Non,Non,Non,802.11 b/g/n,100 ppp,-,,Non,,-,-,Non,Non,Non,28 nm,AMD Radeon R5 M320,-,Non,AMD Radeon R5 (Beema)300 - 850 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,2 Mo,382 x 256 x 25.8 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,25 W
product_578e97a60a086d307f8b456d,http://www.comparez-malin.fr/informatique/pc-portable/asus-x751lav-ty481t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 1.7 GHz,,,Oui,Noir,3 x USB 3.0,Non,Non,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoSonicMaster Sound,37 W/h, 100 / 1000 Mbps,Non,,ASUS Color Enhancement (ASUS Splendid)ASUS Fast BootASUS Fancy StartASUS Live Update 2ASUS LifeFrame3ASUS Power4Gear Hybrid-SHEASUS Smart LogonASUS Virtual CameraASUS WinflashASUS Wireless Console 3ASUS Screen SavereManualeDriverPower2Go v6Trend MicroTitanium 2011 (Version d'essai 30 jours)Nuance PDF,"599,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i3-4005U,Non,Non,,Oui,,Non,03/12/2015,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,X751LAV-TY481T,Non,Oui,1600 x 900 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,2.8 kg,Non,1000 Go (5400 tr/min),Haswell 2013 (x86),Non,5h00,Non,Non,Non,802.11 b/g/n,106 ppp,-,,Non,,-,2950 mAh,Non,Non,Non,22 nm,Non,-,Non,Intel HD Graphics 4400200 - 950 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,415 x 272 x 30.4 - 35.5 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578e982e0a086d307f8b456e,http://www.comparez-malin.fr/informatique/pc-portable/asus-r301ua-fn094t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Oui,NoirArgent,2 x USB 2.01 x USB 3.0 / Charging,Non,Non,,,Non,Oui,Oui,2 cel.,Haut-parleurs stéréo (2W)SonicMaster Sound,38 W/h, 100 / 1000 Mbps,Non,,Office 365 (version d'essai gratuite limitée à 1 mois)McAfee Internet Security 2012 (version d'essai),"749,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i5-6200U,Non,Non,,Oui,,Non,19/07/2016,HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,R301UA-FN094T,Non,Oui,1366 x 768 pixels,-,8 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,1.59 kg,Non,512 Go (SSD),Skylake 2015 (x86),Non,4h00,Non,Non,Non,802.11 b/g/n,118 ppp,-,,Non,,-,-,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Non,Non,Windows 10 Famille,Non,Non,3 Mo,328 x 234 x 25.6 mm,Non,AluminiumPlastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578f61530a086d307f8b456f,http://www.comparez-malin.fr/informatique/pc-portable/asus-eeebook-e402sa-wx008t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,4 x 1.6 à 2.08 GHz,,,Oui,Bleu,1 x USB 2.01 x USB 3.0,Non,Non,,,Non,Oui,Oui,2 cel.,Haut-parleurs stéréoSonicMaster Sound,32 W/h, 10 / 100 Mbps,Non,,-,"369,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Celeron N3150,Non,Non,,Oui,,Non,02/09/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,E402SA-WX008T,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,1.65 kg,Non,1000 Go (5400 tr/min),Braswell 2015 (x86),Non,4h00,Non,Non,Non,802.11 b/g/n,112 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Non,-,Non,Intel HD Graphics (Braswell)320 - 640 MHz,Non,Non,"14.0"" (35,56 cm)",Non,Oui,-,Non,Non,Windows 10 Famille,Non,Non,2 Mo,339 x 235 x 21.9 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,6 W
product_578f62070a086d307f8b4570,http://www.comparez-malin.fr/informatique/pc-portable/asus-eeebook-e402sa-wx005t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,4 x 1.6 à 2.08 GHz,,,Oui,Blanc,1 x USB 2.01 x USB 3.0,Non,Non,,,Non,Oui,Oui,2 cel.,Haut-parleurs stéréoSonicMaster Sound,32 W/h, 10 / 100 Mbps,Non,,-,"369,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Celeron N3150,Non,Non,,Oui,,Non,02/09/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,E402SA-WX005T,Non,Oui,1366 x 768 pixels,-,4 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,1.65 kg,Non,1000 Go (5400 tr/min),Braswell 2015 (x86),Non,4h00,Non,Non,Non,802.11 b/g/n,112 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Non,-,Non,Intel HD Graphics (Braswell)320 - 640 MHz,Non,Non,"14.0"" (35,56 cm)",Non,Oui,-,Non,Non,Windows 10 Famille,Non,Non,2 Mo,339 x 235 x 21.9 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,6 W
product_578f62610a086d327f8b456a,http://www.comparez-malin.fr/informatique/pc-portable/asus-r753ux-t4180t.html,,,0.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Oui,Gris,2 x USB 2.02 x USB 3.0,Non,Non,,,Non,Oui,Oui,2 cel.,Haut-parleurs stéréo (2W)SonicMaster Sound,38 W/h, 100 / 1000 Mbps,Non,,Microsoft Office 365 (1 mois d'essai)McAfee Internet Security 2012,"899,00€",Non,Non,,300 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i5-6200U,Non,Non,,Oui,,Non,01/09/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,R753UX-T4180T,Non,Oui,1920 x 1080 pixels,178°,8 Go - DDR3L(1600 MHz),Non,Non,Non,Asus,2.69 kg,Non,1000 Go (5400 tr/min)128 Go (SSD),Skylake 2015 (x86),Non,4h00,Non,Non,Non,802.11 b/g/n,127 ppp,-,,Non,,-,-,Oui,Non,Non,14 nm,Nvidia GeForce GTX 950M,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,415 x 274 x 37.5 mm,Non,Aluminium,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578f63700a086d52248b4567,http://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-flip-ux360ca-c4060t.html,,,1.3 MPx,,Non,Non,,Non,,4.1,Non,Windows Store,,2 x 0.9 à 2.2 GHz,,,Non,Gris champagne,2 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Non,Oui,3 cel.,Haut-parleurs stéréo (1.6W)Bang & Olufsen,54 W/h,Non,Non,,Microsoft Office 2013 (Offre d'essai)McAfee Internet Security 2012 (Offre d'essai),"699,00€",Non,Non,,300 cd/m²,10 points, SD / SDHC / SDXC,Intel Core m3-6Y30,Non,Non,,Oui,,Non,20/07/2016,Micro HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,UX360CA-C4060T,Non,Oui,1920 x 1080 pixels,178°,4 Go - LPDDR3(1866 MHz),Non,Non,Non,Asus,1.3 kg,Non,128 Go (SSD),Skylake 2015 (x86),Non,12h00,Non,Non,Non,802.11 b/g/n/ac,166 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 515300 - 850 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Non,Non,Windows 10 Famille,Non,Non,4 Mo,323 x 220 x 13.9 mm,Non,Aluminium,Oui,LCD - IPS,Microsoft Edge,Oui,4 W
product_578f67420a086d52248b4568,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-e5-774-357w.html,,,1.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.3 GHz,,,Oui,Noir,2 x USB 2.02 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Oui,Oui,6 cel.,Haut-parleurs stéréoDolby Audio Premium,62.2 W/h, 100 / 1000 Mbps,Non,,Microsoft Office 365 (1 mois d'essai)McAfee Internet Security (2 mois d'essai)Applications Acer,"609,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i3-6100U,Non,Non,,Oui,,Non,05/08/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,E5-774-357W,Non,Oui,1920 x 1080 pixels,-,4 Go - DDR4(2133 MHz),Non,Non,Non,Acer,3.1 kg,Non,500 Go (5400 tr/min)128 Go (SSD),Skylake 2015 (x86),Non,5h30,Non,Non,Non,802.11 b/g/n/ac,127 ppp,-,,Non,,-,2800 mAh,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,423.3 x 282 x 27.6 - 33.1 mm,Non,Métal,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578f694a0a086d52248b456a,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-e5-774-50ct.html,,,1.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Oui,Noir,2 x USB 2.02 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Oui,Oui,6 cel.,Haut-parleurs stéréoDolby Audio Premium,62.2 W/h, 100 / 1000 Mbps,Non,,Microsoft Office 365 (1 mois d'essai)McAfee Internet Security (2 mois d'essai)Applications Acer,"689,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i5-6200U,Non,Non,,Oui,,Non,05/08/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,E5-774-50CT,Non,Oui,1920 x 1080 pixels,-,4 Go - DDR4(2133 MHz),Non,Non,Non,Acer,3.1 kg,Non,500 Go (5400 tr/min)128 Go (SSD),Skylake 2015 (x86),Non,5h30,Non,Non,Non,802.11 b/g/n/ac,127 ppp,-,,Non,,-,2800 mAh,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,423.3 x 282 x 27.6 - 33.1 mm,Non,Métal,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578f697c0a086d53248b4567,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-e5-774g-74m7.html,,,1.3 MPx,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.5 à 3.1 GHz,,,Oui,Noir,2 x USB 2.02 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Oui,Oui,6 cel.,Haut-parleurs stéréoDolby Audio Premium,62.2 W/h, 100 / 1000 Mbps,Non,,Microsoft Office 365 (1 mois d'essai)McAfee Internet Security (2 mois d'essai)Applications Acer,"899,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i7-6500U,Non,Non,,Oui,,Non,05/08/2016,HDMI 1.4,ManuelChargeur secteur,Non,Non,E5-774G-74M7,Non,Oui,1920 x 1080 pixels,-,8 Go - DDR4(2133 MHz),Non,Non,Non,Acer,3.1 kg,Non,1000 Go (5400 tr/min)128 Go (SSD),Skylake 2015 (x86),Non,5h30,Non,Non,Non,802.11 b/g/n/ac,127 ppp,-,,Non,,-,2800 mAh,Oui,Non,Non,14 nm,Nvidia GeForce 940M,-,Non,Intel HD Graphics 520300 - 1050 MHz,Non,Non,"17.3"" (43,94 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,4 Mo,423.3 x 282 x 27.6 - 33.1 mm,Non,Métal,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578f6c100a086d53288b4567,http://www.comparez-malin.fr/informatique/pc-portable/asus-b8430ua-fa0060e.html,,,1.3 MPx,,Non,Non,,Non,,4.1,Non,,,2 x 2.3 à 2.8 GHz,,,Oui,Noir,4 x USB 3.0,Mini DisplayPort,Non,,,Non,Oui,Oui,3 cel.,Haut-parleurs stéréo (1.5W)Bang & Olufsen,48 W/h, 100 / 1000 Mbps,Oui,,ASUS HDD ProtectionASUSPRO Business Center,"1 099,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i5-6200U,Oui,Non,,Oui,,Non,20/07/2016,Non,Licence Windows 10 Pro 64 bitsAdaptateur secteurNotice et garantie,Non,Non,B8430UA-FA0060E,Non,Oui,1920 x 1080 pixels,-,8 Go - DDR4(2133 MHz),Oui,Non,Non,Asus,1.7 kg,Non,256 Go (SSD),Skylake 2015 (x86),Non,9h00,Non,Oui,Non,802.11 b/g/n/ac,157 ppp,-,,Non,,-,4110 mAh,Oui,Oui,Non,14 nm,Non,-,Oui,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"14.0"" (35,56 cm)",Non,Oui,-,Oui,Oui,Windows 7 Professionnel,Non,Non,3 Mo,339 x 236 x 19.7 - 20.5 mm,Non,Fibre de carbone,Oui,LCD - TN,Internet Explorer,Oui,15 W
product_578f6cf90a086d53248b4568,http://www.comparez-malin.fr/informatique/pc-portable/hp-15-ay029nf.html,,,1.3 MPxHP TrueVision HD,,Non,Non,,Oui,,4.0,Non,Windows Store,,2 x 2 GHz,,,Non,Argent,2 x USB 2.01 x USB 3.0,Non,Oui,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,41 W/h, 10 / 100 Mbps,Non,,HP LoungeMcAfee LiveSafe (abonnement 1 mois)CyberLink PowerDirectorNetflixMicrosoft Office 365 (1 mois d'essai)Dropbox,"499,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i3-5005U,Non,Non,,Oui,,Non,03/08/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,Y0A52EA#ABF,Non,Oui,1920 x 1080 pixels,-,4 Go - DDR3L(1600 MHz),Oui,Non,Non,HP,2.04 kg,Non,1000 Go (5400 tr/min),Broadwell 2015 (x86),Non,8h00,Non,Non,Non,802.11 b/g/n,141 ppp,-,,Non,,-,-,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 5500300 - 900 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,3 Mo,384.3 x 254.6 x 24.3 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578f6eb60a086d52248b456c,http://www.comparez-malin.fr/informatique/pc-portable/hp-15-ay031nf.html,,,1.3 MPxHP TrueVision HD,,Non,Non,,Oui,,4.0,Non,Windows Store,,2 x 2.5 à 3.1 GHz,,,Non,Gris,2 x USB 2.01 x USB 3.0,Non,Oui,,,Non,Oui,Oui,4 cel.,Haut-parleurs stéréoDTS,41 W/h, 10 / 100 Mbps,Non,,HP LoungeMcAfee LiveSafe (abonnement 1 mois)CyberLink PowerDirectorNetflixMicrosoft Office 365 (1 mois d'essai)Dropbox,"799,00€",Non,Non,,200 cd/m²,Non, SD / SDHC / SDXC,Intel Core i7-6500U,Non,Non,,Oui,,Non,03/08/2016,HDMI 1.4,ManuelAdaptateur secteur,Non,Non,Y0A54EA#ABF,Non,Oui,1366 x 768 pixels,-,6 Go - DDR4(2133 MHz),Oui,Non,Non,HP,2.04 kg,Non,1000 Go (5400 tr/min),Skylake 2015 (x86),Non,8h00,Non,Non,Non,802.11 b/g/n,100 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,AMD Radeon R7 M440,-,Non,Intel HD Graphics 520300 - 1050 MHz,Non,Non,"15.6"" (39,62 cm)",Oui,Oui,-,Non,Non,Windows 10 Famille,Oui,Non,4 Mo,384.3 x 254.6 x 24.3 mm,Non,Plastique,Oui,LCD - TN,Microsoft Edge,Non,15 W
product_578f6f830a086d52248b456d,http://www.comparez-malin.fr/informatique/pc-portable/hp-envy-13-d103nf.html,,,1.3 MPxHP TrueVision HD,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Non,Gris,3 x USB 3.0 / Charging,Non,Oui,,,Non,Oui,Oui,3 cel.,Haut-parleurs stéréoBang & Olufsen,45 W/h,Non,Non,,HP LoungeHP SimplePassHP 3D DriveGuardCyberLink PowerBackupMcAfee LiveSafeNetflixSkype,"999,00€",Non,Non,,-,Non, SD / SDHC / SDXC,Intel Core i5-6200U,Non,Non,,Oui,,Non,03/08/2016,HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,Y0A19EA#ABF,Non,Oui,1920 x 1080 pixels,178°,8 Go - DDR3L(1600 MHz),Oui,Non,Non,HP,1.36 kg,Non,256 Go (SSD),Skylake 2015 (x86),Non,-,Non,Non,Non,802.11 b/g/n,166 ppp,-,,Non,,-,-,Oui,Non,Non,14 nm,Non,-,Oui,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Non,Windows 10 Famille,Non,Non,3 Mo,326.5 x 226 x 12.9 mm,Non,Aluminium,Oui,LCD - IPS,Microsoft Edge,Non,15 W
product_578f6ff50a086d53248b4569,http://www.comparez-malin.fr/informatique/pc-portable/hp-envy-13-d104nf.html,,,1.3 MPxHP TrueVision HD,,Non,Non,,Non,,4.0,Non,Windows Store,,2 x 2.5 à 3.1 GHz,,,Non,Gris,3 x USB 3.0 / Charging,Non,Oui,,,Non,Oui,Oui,3 cel.,Haut-parleurs stéréoBang & Olufsen,45 W/h,Non,Non,,HP LoungeHP SimplePassHP 3D DriveGuardCyberLink PowerBackupMcAfee LiveSafeNetflixSkype,"1 199,00€",Non,Non,,-,Non, SD / SDHC / SDXC,Intel Core i7-6500U,Non,Non,,Oui,,Non,03/08/2016,HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,Y0A20EA#ABF,Non,Oui,3200 x 1800 pixels,178°,8 Go - DDR3L(1600 MHz),Oui,Non,Non,HP,1.36 kg,Non,256 Go (SSD),Skylake 2015 (x86),Non,-,Non,Non,Non,802.11 b/g/n,276 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Non,-,Oui,Intel HD Graphics 520300 - 1050 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Non,Windows 10 Famille,Non,Non,4 Mo,326.5 x 226 x 12.9 mm,Non,Aluminium,Oui,LCD - IPS,Microsoft Edge,Non,15 W
product_578f71ea0a086d52248b456e,http://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-ux310ua-fc233t.html,,,1.3 MPx,,Non,Non,,Non,,4.1,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Non,Argent,2 x USB 2.01 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Non,Oui,3 cel.,Haut-parleurs stéréoHarman Kardon,48 W/h,Non,Non,,Microsoft Office 365 (1 mois d'essai),"799,00€",Non,Non,,250 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i5-6200U,Non,Non,,Oui,,Non,15/08/2016,HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,UX310UA-FC233T,Non,Oui,1920 x 1080 pixels,-,4 Go - DDR4(2133 MHz),Non,Non,Non,Asus,1.45 kg,Non,500 Go (5400 tr/min)128 Go (SSD),Skylake 2015 (x86),Non,8h00,Non,Non,Non,802.11 b/g/n/ac,166 ppp,-,,Non,,-,-,Oui,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Non,Windows 10 Famille,Non,Non,3 Mo,323 x 223 x 18.4 - 19 mm,Non,Aluminium,Oui,LCD - TN,Microsoft Edge,Oui,15 W
product_578f77080a086d53288b4568,http://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-ux310ua-gl085t.html,,,1.3 MPx,,Non,Non,,Non,,4.1,Non,Windows Store,,2 x 2.3 à 2.8 GHz,,,Non,Argent,2 x USB 2.01 x USB 3.01 x USB 3.1 Type-C (Gen 1),Non,Non,,,Non,Non,Oui,3 cel.,Haut-parleurs stéréoHarman Kardon,48 W/h,Non,Non,,Microsoft Office 365 (1 mois d'essai),"899,00€",Non,Non,,250 cd/m²,Non, SD / SDHC / SDXC / MMC,Intel Core i5-6200U,Non,Non,,Oui,,Non,15/08/2016,HDMI 1.4,Adaptateur secteurNotice et garantie,Non,Non,UX310UA-GL085T,Non,Oui,1920 x 1080 pixels,-,4 Go - DDR4(2133 MHz),Non,Non,Non,Asus,1.45 kg,Non,512 Go (SSD),Skylake 2015 (x86),Non,8h00,Non,Non,Non,802.11 b/g/n/ac,166 ppp,-,,Non,,-,-,Non,Non,Non,14 nm,Non,-,Non,Intel HD Graphics 520300 - 1000 MHz,Non,Non,"13.3"" (33,78 cm)",Non,Oui,-,Oui,Non,Windows 10 Famille,Non,Non,3 Mo,323 x 223 x 18.4 - 19 mm,Non,Aluminium,Oui,LCD - TN,Microsoft Edge,Oui,15 W
