,url
product_56a0e4060a086d1c4a8b4567,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-z51-70-80nt00q8fr.html
product_56a0e4b20a086d1c4a8b4568,http://www.comparez-malin.fr/informatique/pc-portable/asus-x302la-fn228t.html
product_56a0e7d30a086d1c4a8b4569,http://www.comparez-malin.fr/informatique/pc-portable/asus-r558ub-xo053t.html
product_56a11a150a086d1c4a8b456f,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-y700-17isk-80q00039fr.html
product_56a13fb20a086d184a8b456c,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-500s-14isk-80q3005kfr.html
product_56a144e80a086d184a8b456d,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-yoga-500-14ibd-80n40135fr.html
product_56a14a610a086d1c4a8b4570,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-yoga-500-14ibd-80r500dwfr.html
product_56a15e8d0a086d194a8b456c,http://www.comparez-malin.fr/informatique/pc-portable/asus-n552vw-fi035t.html
product_56a15f8f0a086d194a8b456d,http://www.comparez-malin.fr/informatique/pc-portable/asus-n552vx-fi195t.html
product_56a160070a086d194a8b456e,http://www.comparez-malin.fr/informatique/pc-portable/asus-n552vw-fi006t.html
product_56a16df40a086d1c4a8b4571,http://www.comparez-malin.fr/informatique/pc-portable/asus-n752vx-gb110t.html
product_56a16fa90a086d194a8b456f,http://www.comparez-malin.fr/informatique/pc-portable/asus-n752vx-gc120t.html
product_56a170060a086d1c4a8b4572,http://www.comparez-malin.fr/informatique/pc-portable/asus-n752vx-gb122t.html
product_56a1705c0a086d194a8b4570,http://www.comparez-malin.fr/informatique/pc-portable/asus-n752vx-gc121t.html
product_56a170d90a086d184a8b456e,http://www.comparez-malin.fr/informatique/pc-portable/asus-rog-gl552jx-dm390t.html
product_56a175a50a086d1c4a8b4573,http://www.comparez-malin.fr/informatique/pc-portable/asus-r753ux-t4040t.html
product_56a176520a086d184a8b456f,http://www.comparez-malin.fr/informatique/pc-portable/asus-r753ux-t4042t.html
product_56a77aa10a086d6a2a8b4568,http://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-ux305fa-fb038r.html
product_56a77c170a086da4058b4567,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-500s-14isk-80q3005hfr.html
