,url,Poids,Puce TPM,Emplacement,Wifi,Marque,Bluetooth,Mémoire (RAM),Contraste,Webcam,Résistance à la poussière,Angle de vue,Compatible,Qualité vidéo,PPI,Gyroscope,3G,Connecteur pour dock,NFC,Navigateur,Trackpoint,Gravure,Miracast,Tactile,DisplayPort,VGA,Flash LED,Induction,DisplayPort Thunderbolt,Type de dalle,Processeur,Lecteur d'empreintes digitales,Lecteur de carte à puce (Smart Card),Anti-reflet,Fréquence,Dimensions,Luminosité,Gamme,PDT max.,Delta E,Airplay,Port série,Puce graphique dédiée,Capacité W/h,Prise casque,Système d'exploitation,Accéléromètre,Boutique d'apps,Cellules,Composition,Inclus,Autonomie,Firewire,4G / LTE,Cache,Lecteur de carte SD,Infrarouge,Anti-rayures,Magnétique,Capteur de proximité,Haut-parleurs,Ethernet,Interface constructeur,Capacité mAh,Temps de charge,Verrou Kensington,Flash Player,USB,HDMI,Autofocus,Wireless Display (Widi),Amovible,Lecteur DVD,Puce graphique intégrée,prix,Applications,Taille,Appareil photo,Couleur(s),Pavé numérique,64 bits,Résistance aux chutes,Optionnel,Disque dur,Résistance à l'eau,Résolution,Prix public,GPS,Date,Touchpad,Capteur de luminosité,Clavier rétroéclairé,Référence
product_57c6e9b4f84140605a8b457b,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-yoga-700-14isk-80qd0086fr.html,1.7 kg,Non,Non,802.11 b/g/n/ac,Lenovo,4.0,4 Go - DDR3L(1600 MHz),-,1.0 MPxHP 720p,Non,178°,Non,Non,157 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Oui,10 points,Non,Non,Non,Non,Non,LCD - IPS,Intel Core i5-6200U,Non,Non,Non,2 x 2.3 à 2.8 GHz,335 x 229.5 x 18.3 mm,200 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,Non,45 W/h,Oui,Windows 10 Famille,Oui,Windows Store,4 cel.,Plastique,Manuel Chargeur secteur,7h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDolby Home Theater v4,Non,Non,-,-,Non,Oui,1 x USB 2.02 x USB 3.0 / Charging,Micro HDMI 1.4,Non,Oui,Non,Non,Intel HD Graphics 520300 - 1000 MHz,,Lenovo Yoga Harmony Lenovo Reach Lenovo OneKey Recovery Lenovo OneKey Optimizer Lenovo Veriface Pro Lenovo Yoga Chef McAfee LiveSafe Free Trial McAfee LiveSafe Amazon Kindle Zinio Evernote,"14.0"" (35,56 cm)",Non,Argent,Non,Oui,Non,-,256 Go (SSD),Non,1920 x 1080 pixels,"899,00€",Non,31/08/2016,Oui,Oui,Oui,80QD0086FR
product_57c6ea81f84140655b8b4572,http://www.comparez-malin.fr/informatique/pc-portable/hp-15-ay012nf.html,2.04 kg,Oui,Non,802.11 b/g/n,HP,Non,4 Go - DDR3L(1600 MHz),-,1.3 MPxHP TrueVision HD,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Oui,Non,Non,Non,Non,Non,Non,LCD - TN,Intel Celeron N3060,Non,Non,Non,2 x 1.6 à 2.48 GHz,384.3 x 254.6 x 24.3 mm,200 cd/m²,Braswell 2016 (x86),6 W,-,Non,Non,Non,41 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,Plastique,Manuel Adaptateur secteur,8h00,Non,Non,2 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,10 / 100 Mbps,Non,-,-,Oui,Oui,2 x USB 2.01 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 400320 - 600 MHz,,HP Lounge McAfee LiveSafe (abonnement 1 mois) CyberLink PowerDirector Netflix Microsoft Office 365 (1 mois d'essai) Dropbox,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min),Non,1366 x 768 pixels,"399,00€",Non,31/08/2016,Oui,Oui,Non,X0M18EA#ABF
product_57c6eb78f84140655b8b4573,http://www.comparez-malin.fr/informatique/pc-portable/hp-15-ay020nf.html,2.04 kg,Oui,Non,802.11 b/g/n,HP,4.0,4 Go - DDR3L(1600 MHz),-,1.3 MPxHP TrueVision HD,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Oui,Non,Non,Non,Non,Non,Non,LCD - TN,Intel Core i3-5005U,Non,Non,Non,2 x 2 GHz,384.3 x 254.6 x 24.3 mm,200 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,AMD Radeon R5 M430,41 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,Plastique,Manuel Adaptateur secteur,8h00,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,10 / 100 Mbps,Non,-,-,Oui,Oui,2 x USB 2.01 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 900 MHz,"427,00 €",HP Lounge McAfee LiveSafe (abonnement 1 mois) CyberLink PowerDirector Netflix Microsoft Office 365 (1 mois d'essai) Dropbox,"15.6"" (39,62 cm)",Non,Argent,Oui,Oui,Non,-,1000 Go (5400 tr/min),Non,1366 x 768 pixels,"499,00€",Non,31/08/2016,Oui,Oui,Non,X5X78EA#ABF
product_57c6ed0ef84140c9668b4576,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-essential-b50-50-80s2000sfr.html,2.3 kg,Oui,Non,802.11 b/g/n,Lenovo,4.0,4 Go - DDR3L(1600 MHz),500:1,0.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Oui,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i3-5005U,Oui,Oui,Oui,2 x 2 GHz,378 x 265 x 22.9 mm,200 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Non,32 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,Plastique,Manuel Chargeur secteur Windows 10 Pro 64 bits,4h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDolby Advanced Audio,100 / 1000 Mbps,Non,-,-,Oui,Oui,1 x USB 2.01 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 900 MHz,"512,22 €",Lenovo Solution Center Lenovo ThinkVantage Rescue / Recovery Lenovo ThinkVantage System Update McAfee LiveSafe (30 jours d'essai) Microsoft Office (30 jorus d'essai),"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"499,00€",Non,31/08/2016,Oui,Oui,Non,80S2000SFR
product_57c6f1dcf84140655b8b4574,http://www.comparez-malin.fr/informatique/pc-portable/lenovo-essential-b50-50-80s2000qfr.html,2.3 kg,Oui,Non,802.11 b/g/n,Lenovo,4.0,4 Go - DDR3L(1600 MHz),500:1,0.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Microsoft Edge,Oui,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i3-5005U,Oui,Oui,Oui,2 x 2 GHz,378 x 265 x 22.9 mm,200 cd/m²,Broadwell 2015 (x86),15 W,-,Non,Non,Non,32 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,Plastique,Manuel Chargeur secteur,4h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDolby Advanced Audio,100 / 1000 Mbps,Non,-,-,Oui,Oui,1 x USB 2.01 x USB 3.0,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 5500300 - 900 MHz,"385,90 €",Lenovo Solution Center Lenovo ThinkVantage Rescue / Recovery Lenovo ThinkVantage System Update McAfee LiveSafe (30 jours d'essai) Microsoft Office (30 jorus d'essai),"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,500 Go (5400 tr/min) + 8 Go (cache SSD),Non,1366 x 768 pixels,"469,00€",Non,31/08/2016,Oui,Oui,Non,80S2000QFR
product_57c6f267f84140655b8b4575,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-tecra-z50-c-10m.html,2 kg,Oui,Non,802.11 b/g/n/ac,Toshiba,4.1,8 Go - DDR3L(1600 MHz),-,2.0 MPxFull HD 1080p,Non,178°,Non,Non,141 ppp,Non,Non,Oui,Non,Internet Explorer,Oui,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - IPS,Intel Core i5-6200U,Oui,Oui,Oui,2 x 2.3 à 2.8 GHz,379 x 258 x 23.25 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,Non,44 W/h,Oui,Windows 7 Professionnel,Oui,,4 cel.,Plastique,Windows 10 Pro 64 bits Manuel d'utilisateur Chargeur secteur,8h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,4 x USB 3.0 / Charging,HDMI 1.4,Non,Oui,Non,Oui,Intel HD Graphics 520300 - 1000 MHz,"1 309,97 €",McAfee Internet Security (un mois d'essai) Microsoft Office 365 (un mois d'essai) Toshiba Eco Utility Toshiba PC Health Monitor,"15.6"" (39,62 cm)",Non,Gris,Oui,Oui,Non,-,256 Go (SSD),Non,1920 x 1080 pixels,"1 389,00€",Non,31/08/2016,Oui,Oui,Oui,PT571E-01E001FR
product_57c6f3e7f84140655b8b4576,http://www.comparez-malin.fr/informatique/pc-portable/toshiba-satellite-pro-a50-c-1gn.html,2.1 kg,Oui,Non,802.11 b/g/n/ac,Toshiba,4.0  (LE),8 Go - DDR3L(1600 MHz),-,2.0 MPxFull HD 1080p,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-6200U,Non,Non,Oui,2 x 2.3 à 2.8 GHz,379 x 258 x 23.9 mm,220 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,Non,-,Oui,Windows 7 Professionnel,Oui,,4 cel.,Plastique,DVD Windows 10 Pro Manuel d'utilisateur Toshiba Chargeur secteur,8h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Non,Oui,Intel HD Graphics 520300 - 1000 MHz,"826,80 €",McAfee LiveSafe Microsoft Office 365 (1 mois) Toshiba Eco Utility Toshiba PC Health Monitor,"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min),Non,1366 x 768 pixels,"790,00€",Non,31/08/2016,Oui,Oui,Non,PS575E-01600CFR
product_57c6f600f84140c9668b4578,http://www.comparez-malin.fr/informatique/pc-portable/hp-probook-470-g3-p4p67ea.html,2.61 kg,Oui,Non,802.11 b/g/n/ac,HP,4.0,4 Go - DDR3L(1600 MHz),-,1.3 MPxHD720p,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i3-6100U,Oui,Non,Oui,2 x 2.3 GHz,416.8 x 290.5 x 25 - 26 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,AMD Radeon R7 M340,44 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,AluminiumPlastique,Manuel Adaptateur secteur,4h30,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 520300 - 1000 MHz,"538,80 €",HP Drive Encryption HP Security Manager HP Connection Manager HP Mobile Connect HP GPS and Location HP 3D DriveGuard HP Revocery Manager HP Support Assistant CyberLink Power DVD CyberLink YouCam CyberLink Power2Go Foxit Phantom PDF,"17.3"" (43,94 cm)",Non,Argent,Oui,Oui,Non,-,1000 Go (5400 tr/min),Oui,1920 x 1080 pixels,"839,00€",Non,31/08/2016,Oui,Oui,Non,P4P67EA#ABF
product_57c6f8fdf84140c9668b4579,http://www.comparez-malin.fr/informatique/pc-portable/hp-probook-470-g3-p4p73ea.html,2.61 kg,Oui,Non,802.11 b/g/n/ac,HP,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPxHD720p,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-6200U,Oui,Non,Oui,2 x 2.3 à 2.8 GHz,416.8 x 290.5 x 25 - 26 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,AMD Radeon R7 M340,44 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,AluminiumPlastique,Manuel Adaptateur secteur,4h30,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 520300 - 1000 MHz,,HP Drive Encryption HP Security Manager HP Connection Manager HP Mobile Connect HP GPS and Location HP 3D DriveGuard HP Revocery Manager HP Support Assistant CyberLink Power DVD CyberLink YouCam CyberLink Power2Go Foxit Phantom PDF,"17.3"" (43,94 cm)",Non,Argent,Oui,Oui,Non,-,1000 Go (5400 tr/min),Oui,1920 x 1080 pixels,"1 079,00€",Non,31/08/2016,Oui,Oui,Non,P4P73EA#ABF
product_57c6f941f84140605a8b457c,http://www.comparez-malin.fr/informatique/pc-portable/hp-probook-470-g3-p5r11ea.html,2.61 kg,Oui,Non,802.11 b/g/n/ac,HP,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPxHD720p,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-6500U,Oui,Non,Oui,2 x 2.5 à 3.1 GHz,416.8 x 290.5 x 25 - 26 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,AMD Radeon R7 M340,44 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,AluminiumPlastique,Manuel Adaptateur secteur,4h30,Non,Non,4 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 520300 - 1050 MHz,"1 182,63 €",HP Drive Encryption HP Security Manager HP Connection Manager HP Mobile Connect HP GPS and Location HP 3D DriveGuard HP Revocery Manager HP Support Assistant CyberLink Power DVD CyberLink YouCam CyberLink Power2Go Foxit Phantom PDF,"17.3"" (43,94 cm)",Non,Argent,Oui,Oui,Non,-,1000 Go (5400 tr/min),Oui,1920 x 1080 pixels,"1 259,00€",Non,31/08/2016,Oui,Oui,Non,P5R11EA#ABF
product_57c6f980f84140605a8b457d,http://www.comparez-malin.fr/informatique/pc-portable/hp-probook-470-g3-w4p75et.html,2.61 kg,Oui,Non,802.11 b/g/n/ac,HP,4.0,4 Go - DDR4(2133 MHz),-,1.3 MPxHD720p,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i3-6100U,Oui,Non,Oui,2 x 2.3 GHz,416.8 x 290.5 x 25 - 26 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,AMD Radeon R7 M340,44 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,AluminiumPlastique,Manuel Adaptateur secteur Windows 10 Pro 64 bits,4h30,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 520300 - 1000 MHz,"841,93 €",HP Drive Encryption HP Security Manager HP Connection Manager HP Mobile Connect HP GPS and Location HP 3D DriveGuard HP Revocery Manager HP Support Assistant CyberLink Power DVD CyberLink YouCam CyberLink Power2Go Foxit Phantom PDF,"17.3"" (43,94 cm)",Non,Argent,Oui,Oui,Non,-,500 Go (7200 tr/min),Oui,1920 x 1080 pixels,"1 079,00€",Non,31/08/2016,Oui,Oui,Non,W4P75ET#ABF
product_57c6fa09f84140605a8b457e,http://www.comparez-malin.fr/informatique/pc-portable/hp-probook-470-g3-w4p77et.html,2.61 kg,Oui,Non,802.11 b/g/n/ac,HP,4.0,4 Go - DDR4(2133 MHz),-,1.3 MPxHD720p,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-6200U,Oui,Non,Oui,2 x 2.3 à 2.8 GHz,416.8 x 290.5 x 25 - 26 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,AMD Radeon R7 M340,44 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,AluminiumPlastique,Manuel Adaptateur secteur Windows 10 Pro 64 bits,4h30,Non,Non,3 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 520300 - 1000 MHz,"829,90 €",HP Drive Encryption HP Security Manager HP Connection Manager HP Mobile Connect HP GPS and Location HP 3D DriveGuard HP Revocery Manager HP Support Assistant CyberLink Power DVD CyberLink YouCam CyberLink Power2Go Foxit Phantom PDF,"17.3"" (43,94 cm)",Non,Argent,Oui,Oui,Non,-,500 Go (7200 tr/min),Oui,1920 x 1080 pixels,"1 199,00€",Non,31/08/2016,Oui,Oui,Non,W4P77ET#ABF
product_57c6fa4df84140c9668b457a,http://www.comparez-malin.fr/informatique/pc-portable/hp-probook-470-g3-p5r20ea.html,2.61 kg,Oui,Non,802.11 b/g/n/ac,HP,4.0,8 Go - DDR3L(1600 MHz),-,1.3 MPxHD720p,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-6500U,Oui,Non,Oui,2 x 2.5 à 3.1 GHz,416.8 x 290.5 x 25 - 26 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,AMD Radeon R7 M340,44 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,AluminiumPlastique,Manuel Adaptateur secteur Windows 10 Pro 64 bits,4h30,Non,Non,4 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 520300 - 1050 MHz,"1 309,00 €",HP Drive Encryption HP Security Manager HP Connection Manager HP Mobile Connect HP GPS and Location HP 3D DriveGuard HP Revocery Manager HP Support Assistant CyberLink Power DVD CyberLink YouCam CyberLink Power2Go Foxit Phantom PDF,"17.3"" (43,94 cm)",Non,Argent,Oui,Oui,Non,-,1000 Go (5400 tr/min),Oui,1920 x 1080 pixels,"1 619,00€",Non,31/08/2016,Oui,Oui,Non,P5R20EA#ABF
product_57c6faa6f84140655b8b4577,http://www.comparez-malin.fr/informatique/pc-portable/hp-probook-470-g3-w4p83et.html,2.61 kg,Oui,Non,802.11 b/g/n/ac,HP,4.0,8 Go - DDR4(2133 MHz),-,1.3 MPxHD720p,Non,-,Non,Non,127 ppp,Non,Non,Non,Non,Internet Explorer,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-6500U,Oui,Non,Oui,2 x 2.5 à 3.1 GHz,416.8 x 290.5 x 25 - 26 mm,300 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,AMD Radeon R7 M340,44 W/h,Oui,Windows 7 Professionnel,Non,,4 cel.,AluminiumPlastique,Manuel Adaptateur secteur Windows 10 Pro 64 bits,4h30,Non,Non,4 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréoDTS,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.02 x USB 3.0,HDMI 1.4,Non,Oui,Oui,Oui,Intel HD Graphics 520300 - 1050 MHz,"1 337,75 €",HP Drive Encryption HP Security Manager HP Connection Manager HP Mobile Connect HP GPS and Location HP 3D DriveGuard HP Revocery Manager HP Support Assistant CyberLink Power DVD CyberLink YouCam CyberLink Power2Go Foxit Phantom PDF,"17.3"" (43,94 cm)",Non,Argent,Oui,Oui,Non,-,1000 Go (5400 tr/min),Oui,1920 x 1080 pixels,"1 619,00€",Non,31/08/2016,Oui,Oui,Non,W4P83ET#ABF
product_57c6fbc1f84140c9668b457b,http://www.comparez-malin.fr/informatique/pc-portable/asus-k756ux-ty122t.html,2.69 kg,Non,Non,802.11 b/g/n,Asus,4.0,4 Go - DDR3L(1600 MHz),-,0.3 MPx,Non,-,Non,Non,106 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i5-6200U,Non,Non,Non,2 x 2.3 à 2.8 GHz,415 x 274 x 30.4 - 35.5 mm,200 cd/m²,Skylake 2015 (x86),15 W,-,Non,Non,Nvidia GeForce GTX 950M,38 W/h,Oui,Windows 10 Famille,Non,Windows Store,2 cel.,Plastique,Manuel Adaptateur secteur,4h00,Non,Non,3 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoSonicMaster Sound,100 / 1000 Mbps,Non,-,-,Oui,Oui,2 x USB 2.01 x USB 3.01 x USB 3.1 Type-C (Gen 1),HDMI 1.4,Non,Non,Non,Oui,Intel HD Graphics 520300 - 1000 MHz,"699,00 €",ASUS Color Enhancement (ASUS Splendid) ASUS Fast Boot ASUS Fancy Start ASUS Live Update 2 ASUS LifeFrame3 ASUS Power4Gear Hybrid-SHE ASUS Smart Logon ASUS Virtual Camera ASUS Winflash ASUS Wireless Console 3 ASUS Screen Saver eManual eDriver Power2Go v6 Trend Micro Titanium 2011 (Version d'essai 30 jours) Nuance PDF,"17.3"" (43,94 cm)",Non,Marron,Oui,Oui,Non,-,1000 Go (5400 tr/min),Non,1600 x 900 pixels,"649,00€",Non,31/08/2016,Oui,Oui,Non,K756UX-TY122T
product_57c6fd3cf84140605a8b457f,http://www.comparez-malin.fr/informatique/pc-portable/acer-aspire-vn7-592g-76xk.html,2.4 kg,Non,Non,802.11 b/g/n/ac,Acer,4.0  (HS),8 Go - DDR4(2133 MHz),-,1.3 MPxAcer Crystal Eye HD,Non,178°,Non,Non,141 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Non,Non,Non,Non,Non,LCD - IPS,Intel Core i7-6700HQ,Non,Non,Oui,4 x 2.6 à 3.5 GHz,390 x 262.8 x 22.9 mm,300 cd/m²,Skylake 2015 (x86),45 W,-,Non,Non,Nvidia GeForce GTX 960M,52.5 W/h,Oui,Windows 10 Famille,Non,Windows Store,3 cel.,Plastique,Manuel Chargeur secteur,6h00,Non,Non,6 Mo,SD / SDHC,Non,Non,Non,Non,Haut-parleurs x 4 (2W)Dolby Home Theater v4,100 / 1000 Mbps,Non,4605 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0 / Charging1 x USB 3.1 Type-C (Gen 2) / Thunderbolt,HDMI 1.4,Non,Non,Non,Non,Intel HD Graphics 530350 - 1050 MHz,,Acer Cloud Acer Backup Manager Acer ePower Management Acer Recovery Management Microsoft Office 2016 (1 mois d'essai) McAfee Internet Security (2 mois d'essai),"15.6"" (39,62 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (5400 tr/min)128 Go (SSD),Non,1920 x 1080 pixels,"1 299,00€",Non,31/08/2016,Oui,Oui,Oui,VN7-592G-76XK
product_57c8b83df8414033608b4567,http://www.comparez-malin.fr/informatique/pc-portable/asus-r510vx-xx232t.html,2.45 kg,Non,Non,802.11 b/g/n/ac,Asus,4.0,4 Go - DDR4(2133 MHz),-,0.3 MPx,Non,-,Non,Non,100 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Non,Oui,Non,Non,Non,LCD - TN,Intel Core i7-6700HQ,Non,Non,Non,4 x 2.6 à 3.5 GHz,380 x 251 x 29.2 - 31.7 mm,200 cd/m²,Skylake 2015 (x86),45 W,-,Non,Non,Nvidia GeForce GTX 950M,44 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,Aluminium,Adaptateur secteur Notice et garantie,4h00,Non,Non,6 Mo,SD / SDHC / SDXC,Non,Non,Non,Non,Haut-parleurs stéréo (2W)SonicMaster Sound,100 / 1000 Mbps,Non,2600 mAh,-,Oui,Oui,1 x USB 2.02 x USB 3.0 / Charging,HDMI 1.4,Non,Non,Oui,Oui,Intel HD Graphics 530350 - 1050 MHz,,Windows Store Microsoft Office 365 (1 mois d'essai) ASUS AI Recovery ASUS Live Update Super Note World Clock Skype Fresh Paint Windows Essential 2012 Adobe Reader Office Transit eManual Instant On,"15.6"" (39,62 cm)",Non,NoirRouge,Oui,Oui,Non,-,1000 Go (7200 tr/min),Non,1366 x 768 pixels,"799,00€",Non,02/09/2016,Oui,Oui,Non,R510VX-XX232T
product_57c8b8b3f8414033608b4568,http://www.comparez-malin.fr/informatique/pc-portable/asus-rog-g702vm-gc013t.html,2.73 kg,Non,Non,802.11 b/g/n/ac,Asus,4.1,8 Go - DDR4(2133 MHz),-,1.3 MPx,Non,178°,Non,Non,127 ppp,Non,Non,Non,Non,Microsoft Edge,Non,14 nm,Non,Non,Mini DisplayPort,Non,Non,Non,Non,LCD - IPS,Intel Core i5-6300HQ,Non,Non,Oui,4 x 2.3 à 3.2 GHz,420 x 275 x 22 - 24.7 mm,300 cd/m²,Skylake 2015 (x86),45 W,-,Non,Non,Nvidia GeForce GTX 1060,76 W/h,Oui,Windows 10 Famille,Non,Windows Store,4 cel.,Aluminium,Manuel Chargeur secteur,-,Non,Non,6 Mo,SD / SDHC / SDXC / MMC,Non,Non,Non,Non,Haut-parleurs stéréoSonicMaster SoundBang & Olufsen,100 / 1000 Mbps,Non,-,-,Oui,Oui,3 x USB 3.01 x USB 3.1 Type-C (Gen 2) / Thunderbolt,HDMI 1.4,Non,Non,Non,Non,Intel HD Graphics 530350 - 950 MHz,,Microsoft Office 365 (version d'essai 1 mois),"17.3"" (43,94 cm)",Non,Noir,Oui,Oui,Non,-,1000 Go (7200 tr/min)128 Go (SSD),Non,1920 x 1080 pixels,"1 599,00€",Non,20/09/2016,Oui,Oui,Oui,G702VM-GC013T
